Algo,R2,MSE,MedAPE
 SVR(w/t),"[-0.0658311807634937, -0.12969510199832168, -0.08527278470992972, -0.10941952396659871, -0.25124907574289845, -0.1420410843128388, -0.13382856516407404, -0.11509726445623136, -0.11011006194310657, -0.12147245748361324]","[922076820.4108654, 1692109327.7685883, 417031205.24826837, 926394988.262947, 1779818309.6469567, 1386607078.1843116, 1750183074.8274145, 1040526659.9751438, 1375834008.9099267, 1231911615.7972937]","[0.2870987973390742, 0.3361596542249228, 0.2464838685166925, 0.33507598827659035, 0.33615197623783266, 0.31671104897907615, 0.35816807502658526, 0.33031224341653737, 0.3330266200772856, 0.3045487538733889]"
SVR(w),"[0.13377133309085687, 0.03088757029316347, 0.15673516994986125, 0.1308791251703295, -0.040487914527084, 0.01155018329424895, 0.022828253963892986, 0.07771919827926288, 0.042925364798443666, 0.07828910687815394]","[749395766.7481322, 1451581209.0029356, 324036273.06776965, 725739186.3433218, 1480024622.7092507, 1200124523.6276758, 1508366876.3138485, 860604534.4767715, 1186166919.2246704, 1012478146.9814129]","[0.22622585613911664, 0.27469456583603985, 0.19935887674613142, 0.2654640242014522, 0.28830060304952004, 0.26155620050088163, 0.2902636278730034, 0.27435628739215384, 0.2874978115181291, 0.25620122414492036]"
LR(w/t),"[0.8123341484661075, 0.8833666419290108, 0.9239536612745525, 0.8602039785187706, 0.8969485616280132, 0.9089315883533997, 0.8976931078253088, 0.7178100612680081, 0.8545420742982517, 0.8786228417311044]","[95072809.04342937, 165189796.50579256, 68166218.17886834, 184313642.1486349, 179335564.69482684, 135876634.13797936, 180337252.48911557, 76874491.72858655, 87668516.88358329, 173030017.7764257]","[0.19899853250688684, 0.16776634478004782, 0.13673532598315755, 0.1579723531764313, 0.12786874517382776, 0.18591120204447456, 0.14590444702702415, 0.1910716385651196, 0.20852972408639922, 0.1373444844717505]"
LR(w),"[0.8123341484661075, 0.8833666419290108, 0.9239536612745525, 0.8602039785187706, 0.8969485616280132, 0.9089315883533997, 0.8976931078253088, 0.7178100612680081, 0.8545420742982517, 0.8786228417311044]","[95072809.04342937, 165189796.50579256, 68166218.17886834, 184313642.1486349, 179335564.69482684, 135876634.13797936, 180337252.48911557, 76874491.72858655, 87668516.88358329, 173030017.7764257]","[0.19899853250688684, 0.16776634478004782, 0.13673532598315755, 0.1579723531764313, 0.12786874517382776, 0.18591120204447456, 0.14590444702702415, 0.1910716385651196, 0.20852972408639922, 0.1373444844717505]"
GPR(w/t),"[0.7199102680513079, 0.12197138485272219, 0.7718461120300597, 0.7813454284413012, 0.9220420852534217, 0.8698078170156298, 0.8071042495145165, 0.16358369231971537, 0.6908220035965412, 0.7594391702530074]","[141895381.51417032, 1243566769.0727196, 204511985.27604732, 288284459.23866564, 135666487.38121095, 194250402.47369376, 340019024.32907176, 227857445.29145166, 186343757.25463337, 342933095.82368565]","[0.21882587146644417, 0.2634201974573304, 0.17850282928181693, 0.21545517012886842, 0.18445669790850502, 0.16934170685951533, 0.15921190233239219, 0.2114695220296625, 0.22746096165578503, 0.19222779849756294]"
GPR(w),"[0.927565975029965, 0.665954390355997, 0.9170413558678924, 0.942520282501753, 0.9783890499193192, 0.968072402922825, 0.8959234797032439, 0.831016214996932, 0.8835359753379018, 0.8776533894259955]","[36695574.43688378, 473114443.35813636, 74362252.41755138, 75783959.86897977, 37608518.59554569, 47636873.73614225, 183456591.43761688, 46034747.520964175, 70193688.40275225, 174412026.97798222]","[0.13593742379533535, 0.1391733725315765, 0.1345204678643566, 0.10128070358151668, 0.0916634948530806, 0.11577452887525652, 0.09764311391789063, 0.12482328212664363, 0.1481518153971376, 0.1393854839379931]"
KNN(w/t),"[0.8764830259387708, 0.76517885115347, 0.9031163549909937, 0.9310655181042253, 0.9645368623608084, 0.9426795908609095, 0.961306461866837, 0.7321977279599239, 0.9107661180134172, 0.9186742393220128]","[62574547.22083334, 332581162.3258334, 86844308.27749999, 90886459.37999998, 61714828.19499997, 85523664.24765955, 68205437.65617022, 72954987.83319147, 53781889.51744682, 115934480.72510639]","[0.1436135379094515, 0.1605141115046483, 0.1483899626958128, 0.11028375410524723, 0.12271731430579251, 0.13239931091144083, 0.1309327378120513, 0.15863285364922108, 0.1412970061259896, 0.15149740332934858]"
KNN(w) ,"[0.9031690406312552, 0.9776187023060541, 0.9351048575235219, 0.9369205631557054, 0.9537093544620984, 0.949597785259362, 0.9460548845324571, 0.815752729464699, 0.9689511697800208, 0.9365309340487]","[49055228.931162946, 31699010.23811898, 58170538.0553719, 83166892.92204092, 80557430.23849256, 75201523.42871353, 95089526.24632032, 50192842.94268456, 18713348.779199827, 90478750.42087604]","[0.10127583185637905, 0.09715566260970558, 0.11726582241109657, 0.09257089642849083, 0.11722204953785743, 0.09949476081785244, 0.10798575990664522, 0.13217172348054, 0.09186796320899678, 0.10650065703582577]"
