Algo,R2,MSE,APE
SVR(w/t),"[0.016902914182626683, 0.01829849085204316, 0.019798282837261705, 0.012850161983977926, 0.009294994047578942, 0.016119114164839687, 0.01709354000858876, 0.01845127992380069, 0.019779239327382903, 0.015603609487131243]","[1744944.6343629286, 1631719.2515142648, 1318487.9577515938, 1408098.0967566068, 1865465.3489880026, 1864014.6586805747, 1786607.3539235992, 1531906.7778527625, 1536247.530004883, 1594861.5194784815]","[0.9024713920792812, 0.8149637926250984, 0.8073171097164202, 0.7257304606899059, 0.8242451301843553, 0.8381121308935294, 0.8460437178717484, 0.806655260272153, 0.7979708979853977, 0.8754208550963886]"
SVR(w),"[0.042596417555524235, 0.0477969974845478, 0.05058557265843866, 0.04120368829106047, 0.03292510105906443, 0.041143280168813634, 0.04274629801494101, 0.04859421158041444, 0.04873255973971313, 0.0455826810952038]","[1699340.043020612, 1582688.7868418053, 1277075.3891238542, 1367653.8350125316, 1820970.6249703048, 1816605.0454598963, 1739978.9025214468, 1484862.5910848, 1490870.540704676, 1546291.1791580596]","[0.8796285404035165, 0.7970962354311443, 0.7911038204539792, 0.7059105782982359, 0.804266741970891, 0.81938390210163, 0.8256526231234396, 0.7897040858758617, 0.7808621907041656, 0.8584721603238772]"
KNN(w/t),"[0.9358629372504731, 0.900372028019299, 0.9209605267577496, 0.9229610282320733, 0.9206656851760571, 0.9303618582874253, 0.9236804027178581, 0.8987131001121981, 0.9334478232542084, 0.9079284187339786]","[113839.84870175437, 165595.01880701754, 106317.49754385964, 109890.54077192981, 149383.93810526317, 131933.16266666667, 138724.4456140351, 158078.84547368422, 104303.66428070175, 149168.99677192981]","[0.1031866577657674, 0.11359794979431218, 0.10351867611854154, 0.10182677588846588, 0.10598971724543026, 0.10119959161662341, 0.11370432191070091, 0.11536944489082492, 0.09512221674721578, 0.11264101311964023]"
KNN(w),"[0.9875125383252851, 0.9758836755744037, 0.9875046968325385, 0.9856030567118709, 0.9834349564336298, 0.9886597680790418, 0.9795072435459332, 0.9868751663251306, 0.9909631892636874, 0.9813351120473233]","[22164.57515789474, 40084.557754385954, 16807.669754385963, 20536.201964912278, 31191.439017543857, 21484.672421052626, 37249.23059649124, 20483.977263157896, 14162.909754385966, 30239.760982456137]","[0.043917971261719355, 0.05198969927083293, 0.04290022142034675, 0.04693833849002632, 0.041153717537714025, 0.042020721451491015, 0.0547116482722123, 0.04459079162798487, 0.03838198131556644, 0.049994515526080745]"
GPR(w/t),"[0.6444503671862342, 0.6977480184248414, 0.715706289580093, 0.7145734535083014, 0.542319009262675, 0.7140707516176146, 0.7340858784832229, 0.6613798987983418, 0.7514018030489977, 0.7726666162792432]","[631081.541160567, 502383.23212172044, 382408.8726738414, 407140.39692953764, 861798.4404855045, 541708.1661037377, 483346.2230151166, 528485.6650903057, 389614.6473857413, 368312.2665658853]","[0.17918257036947052, 0.17703689107223192, 0.18679494156459325, 0.1831448359882692, 0.1826850628813958, 0.21188454003740867, 0.19488859658031782, 0.19885111428811902, 0.18768220327241775, 0.18583117542987104]"
GPR(w),"[0.9724783023073876, 0.955812532666755, 0.9570513817660087, 0.9652088022540997, 0.9717565012666773, 0.9681614634378952, 0.970848941251228, 0.9644041302355262, 0.9630986189298055, 0.9689293497825837]","[48849.53827053031, 73445.48261506918, 57771.00259271068, 49627.13606714885, 53181.590791043585, 60319.80061521773, 52987.23536283403, 55554.60777487279, 57833.5593340783, 50338.852208830016]","[0.05789532455781827, 0.06434474640673382, 0.054131232252453226, 0.05999262851268104, 0.055681768901510394, 0.05895985146584312, 0.05921538255132319, 0.06075325439544705, 0.05577916160637383, 0.058137878193435494]"
ETR(w/t),"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999998960432991, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16224561403508825, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023859649122807056, 0.0, 0.0]"
ETR(w),"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
