arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,bus_speed,no_of_procs,runtime
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,13,2.61434
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,14,2.56044
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,15,3.79372
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,16,2.36274
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,17,2.27636
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,18,2.27386
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,19,2.33722
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,2,5.53105
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,20,2.12464
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,21,2.47588
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,22,2.08595
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,23,2.04261
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,24,2.01839
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,3,3.7498
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,4,2.81325
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,5,2.93134
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,6,2.47368
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,7,2.58123
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,8,2.26759
IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,9,2.32872
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,1,13.8159
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,10,4.23676
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,11,4.50088
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,12,4.14768
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,13,4.35367
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,14,4.07416
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,15,4.24627
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,16,4.04255
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,17,4.62069
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,18,4.16883
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,19,4.51057
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,2,9.9728
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,20,4.5519
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,21,4.33616
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,22,4.45668
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,23,4.21401
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,24,4.40153
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,25,4.20108
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,26,4.35845
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,27,4.17865
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,28,4.32026
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,29,4.16525
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,3,7.05979
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,30,4.03066
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,31,4.12356
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,32,4.00709
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,4,5.0867
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,5,5.54435
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,6,4.67118
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,7,5.04446
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,8,4.45105
IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,9,4.68572
QcomSdragon600_DDR3533_2GB,1.7,ARM,1,64,1,4,8,128,1,512,0,0,0,0,2,LPDDR3,533,4,0,1,132.622
QcomSdragon600_DDR3533_2GB,1.7,ARM,1,64,1,4,8,128,1,512,0,0,0,0,2,LPDDR3,533,4,0,2,61.3188
QcomSdragon600_DDR3533_2GB,1.7,ARM,1,64,1,4,8,128,1,512,0,0,0,0,2,LPDDR3,533,4,0,3,54.9244
QcomSdragon600_DDR3533_2GB,1.7,ARM,1,64,1,4,8,128,1,512,0,0,0,0,2,LPDDR3,533,4,0,4,65.9976
QcomSdragon600_DDR3533_2GB,1.7,ARM,1,64,1,4,8,128,1,512,0,0,0,0,2,LPDDR3,533,4,0,5,115.552
QcomSdragon600_DDR3533_2GB,1.7,ARM,1,64,1,4,8,128,1,512,0,0,0,0,2,LPDDR3,533,4,0,6,107.226
QcomSdragon600_DDR3533_2GB,1.7,ARM,1,64,1,4,8,128,1,512,0,0,0,0,2,LPDDR3,533,4,0,7,89.1513
